,Review Text,Rating,App id,Date
0,love  It,5.0,com.superstickhero.heroported,2018-02-09
1,Great content.,5.0,com.yaqeen,2019-03-13
2,I love the fact that I can express my feelings through videos I love the fact that people can give attention,5.0,com.zhiliaoapp.musically,2019-03-21
3,"Used to be wonderfulWhen I first got this,  it worked wonderful.  I have had a smartphone for 7 years and this was the first app I ever paid for..  And the only one.  IDK what happened.  Not sure if did an update and that created the issue or what happened but now it won't even open.  And hasn't for a couple months..  I just keeps says "" unfortunately maps speed limits has stopped working"" and I have to hit the okay button.  It does this twice before giving up on starting.  :(  I will be contacting the company..",2.0,com.amphebia.mapsspeedlimits,2016-11-14
4,Good tube,5.0,com.google.android.youtube,2018-02-14
5,Isda Jawab lab ke vikhao,5.0,com.cleanmaster.mguard,2019-02-04
6,Good app,5.0,com.estrongs.android.pop,2018-10-19
7,I'm loving itIt's a pretty good games that don't take awhile to get the votes in the other besides that its the best game ever played,5.0,com.crowdstar.covetfashion,2015-09-15
8,Natu Bhai P SohlankeN.p.s,5.0,com.alibaba.intl.android.apps.poseidon,2017-01-03
9,Exlent app super. Plz I request by tax & water name's editing options including me. thanks very interested super using app,5.0,org.egov.myap,2017-12-14
10,good,5.0,in.shadowfax.gandalf,2019-03-08
11,Awlo has,5.0,com.bobbysgarage.usadrivingsimulator,2017-07-09
12,Sahil,5.0,com.mgc.miami.crime.simulator.two,2017-04-02
13,Good game!,5.0,com.xs.armysniper,2018-04-10
14,Glow hokeyamazing games,5.0,com.natenai.glowhockey,2015-03-16
15,"ok i downloaded this app for my gf and she said she didnt feel any thing 
from it need to be fixed",1.0,com.andetonha.vibrate,2018-08-19
16,Cool,5.0,zimgsguides.clashroyale.app,2017-01-30
17,Releasing an Android app without Chromecast support seems a bit pointless. Add Chromecast support and maybe I will update my rating.,1.0,com.amazon.avod.thirdpartyclient,2019-05-01
18,HahahahahahahahahahahaBoooooooooooooooo,5.0,nl.gamistry.GoldDiggers,2015-02-04
19,I loved itThanku,5.0,com.yx.boxinghero,2016-06-07
20,love this app and all the recipes I can find that already have all the macros loaded for you. this app has made my keto lifestyle goals so much easier to achieve.,5.0,com.wombatapps.carbmanager,2019-03-19
21,Great Game! I love it!This game is awesome. I love it! My one ask is that you make it a little easier to get experience points and move players to the next level.,5.0,com.nextgames.android.twd,2016-05-16
22,Love,5.0,com.ea.gp.pvzheroes,2019-12-07
23,Gud,4.0,com.zentertain.photoeditor,2017-08-04
24,Good working,5.0,com.google.android.talk,2017-11-14
25,This is a very benefit app and it makes my phone happy,5.0,com.ticktockapps.android_girlywallpapers,2018-04-06
26,Excellent,5.0,com.oyo.consumer,2017-10-05
27,Very use full app,3.0,com.flipkart.android,2019-01-22
28,I love.its.app.hoot in .cool..and very.good... H.D.videos..... Useful. Lovely .....SANJAY.KANSWAL,5.0,in.startv.hotstar,2019-03-31
29,Cool😎,5.0,tv.peel.smartremote,2017-12-12
30,Ooooooooooooooooke😁,5.0,com.rovio.baba,2015-10-03
31,Alright,3.0,com.facebook.orca,2017-10-28
32,Phaltu h news ke tarah h pura episode nahi dikhaata h,1.0,com.riponappsworld.new2018starbharathdtvserial,2018-11-11
33,"best magazine appthe smartest magazine app. pleasure to use, layout, crosslinks and structure. fine work.",5.0,com.guardian,2016-07-21
34,AwsomLike,5.0,com.sevenyearsentertainment.hotlander,2014-11-06
35,Acha game h par itna bhi nahi,4.0,com.wordsmobile.RealBikeRacing,2017-10-18
36,Good App,5.0,com.justdial.search,2017-09-21
37,its a great game but can you add boss levels so we have something to look forward to the fortyeth level you shouldfight the banna king also a change you ahould also be able to switch it up and use the bannasso you can have different playing style alsoa storyoine i understand that youre supposed to fight the bannas but what about bosses we fight the underlinhs wirhout a story line or any side missions to do after the last level beacuse you can only do endless mode so there great game but add boss,5.0,com.ankama.kingtongue,2019-06-08
38,nice game,3.0,com.athanggames.smashingcricket,2017-12-30
39,That is very good game but i have not update therefore I can not play it,5.0,com.miniclip.eightballpool,2018-11-14
40,Nice app! Thanks!,4.0,com.camerasideas.instashot,2017-09-11
41,It's cool,5.0,com.my.hc.rpg.kingdom.simulator,2018-09-13
42,Cool Amazing Game Nice,5.0,com.threye.iaf.aca,2019-08-02
43,ProductiveHuge productivity booster!,5.0,com.texty.sms,2016-10-15
44,😍😍😍,5.0,com.h8games.helixjump,2019-02-15
45,Very useful to us,5.0,com.bharathdictionary,2018-01-15
46,"I think you need a lot of improvement because I played it and it was good but then after a few days it stopped working.when I open it , it comes back to my homepage. Really hopeless . I would have given it 0 rating if it would be there.useless",1.0,com.outfit7.mytalkingangelafree,2017-12-02
47,I am FP fan,5.0,com.flipkart.android,2017-08-20
48,Good,3.0,app.buzz.share,2018-12-04
49,So well aap nice and love it,5.0,cn.xender,2019-10-09
50,"Spotify, how can I transfer the songs I saved offline from internal storage to SD card when the option for it is no longer available in the Settings? I don't know why it's not there anymore. Please help ASAP. Thanks!",1.0,com.spotify.music,2017-04-16
51,Very good app 100% recommendation to all ManU fans,5.0,com.mu.muclubapp,2018-11-27
52,It is great,5.0,com.droidhang.ad,2018-06-07
53,Poor play and crashCrash all the time not worth the time,1.0,com.vividgames.realboxing,2015-12-28
54,"The game is a damn rip offffff. I'm not getting accurate coins after winning games. I just won a 2 player 20k game and my money only reflected a 10k profit!!!!!!!!! this happened to me another time already. Fix this please, give me back some kind of bonus for lost coins otherwise I'll simply uninstalling.",1.0,com.moonfrog.ludo.club,2019-04-24
55,"Wow v. go0d app ,",5.0,com.amrcreativex.age_calculator,2017-08-21
56,Nice but low ping,4.0,com.garena.game.codm,2019-11-30
57,Really awesome game 👌👌,5.0,com.supergame.ultrasharp.cutitdown,2018-11-03
58,Gooooooooooooooooooooooooooooooooooooooo Oooooooooooooooooooooooooooooooooooood gOooooooooooooooooooooooooooooooooooood,5.0,com.trapped.psychoescape,2017-03-28
59,4Nice,1.0,com.miniclip.soccerstars,2016-07-18
60,Superhero fun,5.0,com.crazylabs.lady.bug,2018-11-14
61,Greatest Game Ever,5.0,com.nekki.shadowfight,2018-06-23
62,AmazingHahahah,5.0,com.toneaphone.soundboard,2015-05-24
63,Gd,5.0,com.notdoppler.crashofcars,2018-06-28
64,Good,4.0,com.kcbbankgroup.android,2019-03-25
65,Fun to play very addictive!,5.0,com.dts.freefireth,2019-08-23
66,wwwwoooowwww,5.0,com.montagevideo.photovideomaker.slideshow.photomusicvideo,2018-12-28
67,Worked well to keep track of my store results during the day. Now will not display correct metrics. contacted RQ to no avail.,1.0,com.iqmetrix.myrq,2019-03-16
68,This game rulesTotally addicted. New favorite game!,5.0,com.gameloft.android.ANMP.GloftOKHM,2014-06-21
69,Very good,5.0,com.apalon.to.do.list,2019-11-22
70,"Handy app for lookin stuff up, great if you can't be bothered typing.",4.0,com.google.ar.lens,2019-10-03
71,Good,5.0,com.flipkart.android,2018-10-11
72,"I love it, its amazing",5.0,rooh.apps.naaz.com.quran.mishary.rashid.offline,2019-09-19
73,It cleans my phone,3.0,com.antivirus.free.security.cleaner,2019-10-03
74,My game is not starting it shows some kind of error on the left,5.0,com.tencent.ig,2018-09-22
75,AwesomeLove playing it,5.0,com.outerminds.pewdiepie,2015-10-09
76,Luv itIt's so dope,5.0,media.music.musicplayer.mp3player,2016-09-11
77,Fun game buuuut...This is a fun and addicting game to play but on my phone it keeps crashing and it wont even get to the main screen now..please fix for 5 stars,3.0,com.naturalmotion.csrracing,2014-08-28
78,amazing game love it since I joined I would recommended to my friends if they like to join me and battle,5.0,com.diandian.gog,2019-05-18
79,It's the best,5.0,air.com.spilgames.TrollFaceQuestTVShows,2017-03-09
80,Super cuteVery cute app... easy to use... but more styles needed,4.0,com.wantu.activity,2015-12-25
81,♡♡,5.0,com.colorfeel.coloring.book,2017-02-15
82,Thankou bat i wont more but free,5.0,com.childhood.talkie,2017-11-23
83,It's amazing,5.0,io.voodoo.paper2,2018-10-31
84,Mantap,5.0,com.bandainamcoent.saoifww,2019-09-19
85,great,4.0,com.lookchup.mmtcs.lookchup.app,2019-05-23
86,Bonifacio3407Bonifacio3407,5.0,com.DreamNBAGames.CookingStarterRestaurant,2016-09-03
87,Fantastic,5.0,com.stylish.fonts,2019-11-29
88,Love it,5.0,com.nimbuzz,2014-07-25
89,Something went wrong with this game. It doesn't seem to start at all. Please fix it ASAP.,2.0,jp.konami.pesam,2019-11-03
90,Very useful appSuper app for creating shortcuts of apps with cool icons,5.0,com.bhanu.appshortcutmaker,2016-08-15
91,Easy to use I love it,5.0,com.freebitcoin.beastmminer,2017-11-13
92,Abandoned app. Now worthless,1.0,com.ap.SnapPhoto_Pro,2010-08-24
93,Good,5.0,com.supercell.clashroyale,2019-09-27
94,HTC HDLooks lovely,5.0,com.androidwasabi.livewallpaper.galaxy,2014-03-03
95,ExcellentAwesome,5.0,com.mobage.ww.a793.fanta_test_Android,2013-08-14
96,Great game!!!,5.0,com.bandainamcoent.saomdas,2017-01-31
97,Dabba,5.0,in.co.adnan.mindreader,2017-04-07
98,CoolCool,3.0,com.games2win.fabtattoodesignstudio,2016-09-28
99,GG,5.0,com.yodo1.rodeo.safari,2017-08-02
